project,atom_index,element,group,x_A,y_A,z_A,qe_type,is_contribution_eV,reference_definition,reference_eV,cls_eV
TWco,34,C,C_b,-5.71681,-4.16854,0.90718,2,-75.15087,mean(C_b+C_w),-75.02798374999999,0.12288625000000764
TWco,35,C,C_M,-2.43336,2.34953,0.48376,2,-74.81105,mean(C_b+C_w),-75.02798374999999,-0.21693374999999548
TWco,36,C,C_w,-3.09318,4.67196,-0.32661,2,-75.09284,mean(C_b+C_w),-75.02798374999999,0.06485625000000539
TWco,37,C,C_w,-3.44701,3.45631,0.29205,2,-74.79288,mean(C_b+C_w),-75.02798374999999,-0.23510374999999328
TWco,38,C,C_w,-4.0389,5.68937,-0.49502,2,-75.00327,mean(C_b+C_w),-75.02798374999999,-0.02471374999998943
TWco,39,C,C_w,-4.77248,3.29821,0.74674,2,-75.04401,mean(C_b+C_w),-75.02798374999999,0.016026250000010123
TWco,40,C,C_w,-5.35893,5.51829,-0.04423,2,-74.56002,mean(C_b+C_w),-75.02798374999999,-0.46796374999999557
TWco,41,C,C_w,-5.71461,4.31407,0.57946,2,-74.92427,mean(C_b+C_w),-75.02798374999999,-0.10371374999998295
TWco,42,C,C_L_alpha,-2.62299,-1.0889,0.11227,2,-74.11188,mean(C_b+C_w),-75.02798374999999,-0.9161037499999907
TWco,43,C,C_L_alpha,-2.7479,1.07662,0.22122,2,-74.04654,mean(C_b+C_w),-75.02798374999999,-0.9814437499999968
TWco,44,C,C_L_beta,-3.91398,-0.69588,-0.46608,2,-75.22239,mean(C_b+C_w),-75.02798374999999,0.19440625000001432
TWco,45,C,C_L_beta,-3.99655,0.64151,-0.386,2,-75.20896,mean(C_b+C_w),-75.02798374999999,0.18097625000001472
TWco,46,N,N_L,1.9873,-0.06642,0.5265,3,-130.73381,mean(all N),-132.361175,-1.6273649999999975
TWco,47,N,N,0.02018,-2.04035,0.43975,3,-134.04217,mean(all N),-132.361175,1.6809949999999958
TWco,48,N,N,0.01871,1.85514,0.65191,3,-133.92279,mean(all N),-132.361175,1.561614999999989
TWco,49,N,N_L,-1.92874,-0.06131,0.52063,3,-130.74593,mean(all N),-132.361175,-1.6152450000000158
TWco,80,C,C_COOH,-6.36785,6.59283,-0.22006,2,-71.32237,mean(C_b+C_w),-75.02798374999999,-3.7056137499999835
TWco,84,C,C_COOH,6.4621,-6.61985,-0.18412,2,-71.29462,mean(C_b+C_w),-75.02798374999999,-3.733363749999995
TWDCOH,2,C,C_L_beta,3.90694,-0.7383,-0.60262,2,-75.2192,mean(C_b+C_w),-75.02762041666666,0.19157958333333625
TWDCOH,3,C,C_L_beta,3.99666,0.5958,-0.4805,2,-75.16104,mean(C_b+C_w),-75.02762041666666,0.13341958333333537
TWDCOH,4,C,C_L_alpha,2.6131,-1.14456,-0.03641,2,-74.04001,mean(C_b+C_w),-75.02762041666666,-0.9876104166666693
TWDCOH,5,C,C_L_alpha,2.75145,1.01693,0.14178,2,-74.08842,mean(C_b+C_w),-75.02762041666666,-0.9392004166666652
TWDCOH,6,C,C_M,2.29841,-2.56697,0.16008,2,-74.9584,mean(C_b+C_w),-75.02762041666666,-0.069220416666667
TWDCOH,7,C,C_w,5.70728,-4.17639,0.79083,2,-74.96202,mean(C_b+C_w),-75.02762041666666,-0.06560041666666905
TWDCOH,8,C,C_w,5.60867,-5.37978,0.0738,2,-74.58314,mean(C_b+C_w),-75.02762041666666,-0.44448041666666427
TWDCOH,9,C,C_w,4.63727,-3.27859,0.81855,2,-75.097,mean(C_b+C_w),-75.02762041666666,0.06937958333332972
TWDCOH,10,C,C_w,4.41982,-5.66777,-0.61439,2,-75.03933,mean(C_b+C_w),-75.02762041666666,0.011709583333342266
TWDCOH,11,C,C_w,3.43808,-3.56306,0.13589,2,-74.88128,mean(C_b+C_w),-75.02762041666666,-0.14634041666666064
TWDCOH,12,C,C_w,3.34823,-4.77106,-0.58581,2,-75.11928,mean(C_b+C_w),-75.02762041666666,0.0916595833333389
TWDCOH,13,C,C_M,2.43926,2.28456,0.42981,2,-74.82269,mean(C_b+C_w),-75.02762041666666,-0.2049304166666701
TWDCOH,14,C,C_b,5.68764,4.3116,0.4834,2,-75.15127,mean(C_b+C_w),-75.02762041666666,0.1236495833333322
TWDCOH,15,C,C_b,5.28589,5.49974,-0.12737,2,-75.09906,mean(C_b+C_w),-75.02762041666666,0.07143958333332989
TWDCOH,16,C,C_b,4.77328,3.26983,0.66332,2,-75.187,mean(C_b+C_w),-75.02762041666666,0.15937958333333313
